ID,GPE,Sentiment,Title
8476,Tehran,0.0,You Can Smell Hillary’s Fear
10294,USA,0.125,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO)
10142,UK,-0.875,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!'
6903,Russia,0.0,"Tehran, USA"
7341,Detroit,0.0,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On
7041,Russia,0.433,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]"
7623,USA,0.0,10 Ways America Is Preparing for World War 3
7737,Russia,-1.0,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters
8716,Russia,-0.17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS
10348,US,0.357,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J
6155,New Eastern Outlook,0.0,‘Inferno’ and the Overpopulation Myth
5743,Iowa,0.15,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo"
7808,Russia,-0.6,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO]
6484,Britain,0.0,Why It’s Necessary To Relax Into A Stretch
7385,Syria,0.0,"Brexit Encourages UK to Trade With Non-EU States, Including Russia"
9016,Russia,0.1,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)"
9324,Washington DC,0.0,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source
8983,Mosul,0.25,First Ever Hindu Woman Elected into Congress
8965,Syria,-0.156,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!
5580,US,0.0,Ex-Assistant FBI Director: Clintons Are a Crime Family
9757,EU,0.038,Hillary Wants Aggressively Interventionist Foreign Policy
5955,China,-0.3,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater
7455,America,-0.8,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists
7793,Islamabad,0.375,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record
9403,North Carolina,0.0,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock
5931,Russia,0.0,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed
5937,America,0.0,"3 Effects of Substance Abuse on Individual, Family and Community"
7277,Russia,0.0,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops
5521,Iraq,0.136,New Comment Features have been Added
9360,USA,0.0,Ying and Yang (the Gold and Silver Set-Up)
6646,Russia,0.0,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors
7540,U.S.,0.0,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police
8212,Iran,0.0,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee
6197,Vagina,0.0,Is google and YouTube in the Hillary's purse?
6061,Israel,0.0,Truth Will Out Radio: The Laconia Incident
9545,UK,0.0,Should I Get Botox?
7744,UK,0.0,Lavrov and Kerry discuss Syrian settlement
8177,US,0.0,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed
7049,America,0.0,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election
7801,Wrong Direction,0.25,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book
10232,LA,0.0,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video]
8290,Philly,0.1,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)"
6227,Portland,0.0,CNN: One voter can make a difference by voting repeatedly
5316,Hollywood,0.045,Newly Approved GM Potatoes Have Potential to Silence Human Genes
5530,Mosul,0.0,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]"
7680,Oregon,0.0,Nuclear weapons question
10490,Washington,0.6,Kevin MacDonald celebrates Trump’s Amazing Victory
9413,US,0.233,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount"
8685,Russia,0.0,Glorifying Violence
6763,Alabama,0.0,Russia may run out of patience and respond to USA's rudeness
7730,Texas,0.8,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win
7362,Syria,0.3,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins
7513,Russia,-0.5,"Geo-Engineering Unlikely to Work, Conservation Group Says"
6247,U.S.,0.0,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February
6025,Maryland,-0.05,“We Were Long Overdue A Presidential Assassination Anyway”
10122,Undemocratic,0.322,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either"
9398,Fulfilling,0.0,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats
10427,Israel,0.2,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US"
7099,Ukraine,0.136,Monsieur Malbrough est Mort | New Eastern Outlook
8013,India,0.5,"What is one more election thread, ehhh?"
10092,Russia,0.0,Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20
9121,India,0.4,"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available"
8122,Syria,0.0,Suspect captured in ‘ambush-style’ killings of two Iowa cops
8988,Calais,0.0,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy
8682,France,-1.0,Look at the SHOCKING Number of Kids Born To Illegals in 2014
6350,Montenegro,-0.167,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters
7818,US,-0.6,Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks
6408,India,0.0,Trumped!
8357,US,0.0,Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors
10511,Turkey,0.0,"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back"
8322,Russia,0.0,The FBI intervenes in the 2016 election
6212,US,0.25,"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office"
6920,Mosul,0.4,Classless Obama Refuses Photo-Op of White House Welcome with Trump
9468,Mosul,0.0,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg
6460,US,0.0,Stuff in the News That No One Is Talking About Because of the Election
6809,Homs Province,0.033,Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation
6527,The Vineyard of the,0.0,Shi’ite Militias Join Iraq’s Mosul Attack
9447,Orlando,0.0,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them
7256,Palestine,0.0,VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview
7228,US,0.2,Are Tensions With Russia Even Real?
7628,Afghanistan,0.0,Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology
8918,The United States,-0.4,Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’
7711,Russia,0.05,"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”"
9295,Florida,-0.341,Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling
7474,New Eastern Outlook,0.25,Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed
7661,U.S.,0.0,"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo"
7443,the United States of America,0.0,Should Christians Celebrate Halloween?
8210,Turkey,-0.2,Only Making Matters Worse in Syria
9756,Australia,0.1,BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election
6851,Blogs,0.4,Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests
9239,Oklahoma,0.0,"Michael Moore admits no women ever melted the ice caps, bombs American history"
6815,PARIS,0.2,Culchie Tries To Explain Rules Of 25 One More Time
7154,US,0.5,Who had to go :-)
7757,Russia,0.0,Raqqa/Mosul: Politicians Fiddle As Middle East Burns
9557,Finland,0.0,Washington Home Depot store receives order for five-thousand gallons of gold exterior paint
5297,Canada,-0.25,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information
8142,U.S.,0.045,We Live In A Time Where Each Individual Has Immense Power
6176,US,0.0,Only Demented Imbeciles Want A Killary Reign Of Terror
9402,Alaska,0.167,This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion
6948,Quebec,0.0,Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism
9991,Enter Mosul,-0.078,"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding"
10555,US,0.5,Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology
8549,Wisconsin,0.0,Jubilee Year of Mercy ends on November 20. Following Judgment?
6035,New Clinton Emails - The Onion - America's,0.0,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle
9134,Rome,-0.4,Justice Clarence Thomas Describes Washington DC As “Broken”
6407,Sledgehammer,0.0,"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source"
6841,North Carolina,0.167,8 classic football banners of our time
8756,US,0.0,Tweetwave
5918,US,0.136,Trump’s Gettysburg Address against the New World Order
5307,Pakistan,0.65,Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It
8484,India,0.0,Dems sue GOP over Trump's 'rigged' complaints
9948,The United States of America,0.0,US Airstrikes on Iraqi Army Slowing Advance on Mosul
6058,South Korea -,-0.6,"Clinton Camp Desperate, Russia Trains for WWIII"
8767,Hollywood,-0.125,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines
9394,Syria,0.0,If Catcalls Were Politically Correct…
8428,Moscow,0.0,Why Hillary Won't Unleash WWIII    : Information
10357,Texas county,0.0,Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!'
10257,Suburbs,0.017,GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014
7577,Florida,-0.132,"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse"
9485,U.S.,0.0,Memo to the Next Administration: Defense Spending Must Be For Actual Defense
6698,Colombia,-1.0,The circus of liars - America's three rings of evil clowns
8516,France,0.0,Trump Has Forever Changed American Politics
10048,US,0.0,"The role of the US and Nato in EU relations with China, by Manlio Dinucci"
5724,Mosul,-0.312,Trump The President: What Does That Mean For The World? - CounterCurrents.org
7892,the United States,0.068,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog
9935,US,0.0,FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation
6810,Saudi Arabia,0.0,Repudiating the Media
5847,Maryland,0.0,Buchanan Smashes CNN Shill
7815,Undemocratic,0.044,The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted
10183,Turkey,0.0,America After Election 2016: the Gullible and the Shattered - David Kerans
6768,Oregon,0.2,Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO)
10203,US,0.2,‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?
9953,Norway,0.0,Exclusive: Siege of Islamabad
9625,Palmyra,0.2,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%
6872,Russia,-0.088,"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)"
8643,Syria,-0.129,Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene
9265,China,-0.05,American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views
5468,Russia,0.25,President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information
9044,Berkeley,0.0,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times
6203,France,0.0,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks
6316,US,0.0,Representative Government or Thugocracy?
6850,US,-0.1,Pro-Palestinian Propaganda Lowering Standards of Truth in America
6327,France,0.0,Lifting weights could ward off dementia and make you smarter
6442,Yemen,0.188,People excited about Christmas adverts told about rest of human culture
6801,Minnesota,0.0,China Airport Security Robot Gives Electroshocks
9196,U.S.,-0.1,"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)"
9676,US,0.0,Doomsday Election
10194,The United States,1.0,Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?
8772,Malaysia,-0.8,NAZI Flying Saucers & A Permanent Base in Antarctica
