ID,GPE,Sentiment,Title
3608,Paris,0.0,Kerry to go to Paris in gesture of sympathy
875,Britain,0.268,The Battle of New York: Why This Primary Matters
95,Iran,0.0,‘Britain’s Schindler’ Dies at 106
4869,Iowa,0.0,Fact check: Trump and Clinton at the 'commander-in-chief' forum
2909,Iran,0.136,Iran reportedly makes new push for uranium concessions in nuclear talks
1357,America,0.0,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign"
988,W. Va.,-0.392,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse
1571,Afghanistan,0.4,"Trump takes on Cruz, but lightly"
4739,Orlando,0.0,How women lead differently
3304,South Carolina,0.0,What's in that Iran bill that Obama doesn't like?
3078,Selma,0.0,The 1 chart that explains everything you need to know about partisanship in America
2517,America,0.0,The slippery slope to Trump’s proposed ban on Muslims
778,Iraq,0.0,Hillary Clinton Makes A Bipartisan Appeal on Staten Island
3300,Belgium,-0.066,New Senate majority leader’s main goal for GOP: Don’t be scary
636,San Francisco,0.0,Anti-Trump forces seek last-ditch delegate revolt
755,US,0.0,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?
626,Rubio,0.0,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist
691,Kasich,-0.229,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible)
1787,Syria,-0.1,GOP insiders: Carly crushed it
1967,US,0.0,Both parties want to craft populist messages for 2016
431,Iran,0.25,First Take: Wall Street bids goodbye to June hike
5224,US,0.0,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’"
2777,Iran,-0.052,Obama makes the right call to tough it out in Afghanistan
587,Charleston,0.0,Senate race rankings: Dems attack as GOP lays swing-state groundwork
3027,Connecticut,0.0,American politics has reached peak polarization
4377,Iran,0.4,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video)
3627,Ohio,0.0,World's newspapers react to 'Hebdo' attack
909,Iraq,-0.1,"Closed primaries, 'warped' democracy?"
1522,Anbar,0.333,Donald Trump: Hillary Clinton has 'caused tremendous death'
1834,Iran,0.0,Biden makes another surprise political stop
1775,US,0.0,"Hillary Clinton's declining favorability numbers, in context"
3363,Israel,-0.4,Hillary Clinton: The criminal investigation keeps moving forward
1084,US,0.0,Rubio’s parting shot at Trump
4410,America,0.25,Loretta Lynch becomes first African-American woman AG.
2669,Russia,0.25,Why it's funny Republicans are upset with Facebook: Column
3648,US,0.0,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police
596,America,0.0,Handicapping the Hispanic vote for 2016 GOPers
1569,LGBT,0.0,GOP establishment nightmare? Ted Cruz vs. Donald Trump
1178,New Responses,-0.133,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution
1506,Mexico,0.0,Jeb Bush Picks Up Endorsement From Lindsey Graham
1641,Iran,0.136,"2016 Republican race enters a new, volatile phase"
139,Chicago,0.0,"‘Hands up, don’t shoot’ was built on a lie"
4134,France,0.0,Bernie Sanders' call for ouster of two convention co-chairs rejected
917,South Africa,0.268,Five Reasons the New York Democratic Primary Felt Competitive
3854,Iraq,0.0,"To get around Congress, Obama turns to city halls"
3343,Iowa,0.2,John Kerry: ISIS responsible for genocide
4348,New Hampshire,0.0,Mitt Romney's Re-Invention As Anti-Poverty Warrior
3424,Iran,0.0,King: Fill the Supreme Court vacancy
1718,America,0.0,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too"
143,Haiti,0.5,Obama’s speech in Selma was an answer to those who question his love for America
930,U.S.,0.0,Where Does Bernie Sanders Go From Here?
1661,Vermont,0.0,Exclusive: GOP campaigns plot revolt against RNC
1360,Ferguson,0.0,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall"
3635,Paris,0.0,French police hunt two brothers accused of Charlie Hebdo terror attack
3255,Charleston,0.033,Give Social Security recipients a CEO-style raise
3177,Florida,0.0,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate"
2832,Drudge,-0.05,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq"
4294,Koch,0.0,How Ted Cruz Became Ted Cruz
1524,Syria,0.0,Accord reached after Sanders sues the DNC over suspended access to critical voter list
2974,New Hampshire,0.25,Why the latest Patriot Act reform won’t be enough to rein in the NSA
3364,Iowa,0.0,"FBI expands probe of Clinton emails, launches independent classification review"
4933,Cleveland,0.0,Where is Gary Johnson?
4880,West Virginia,0.0,What happens if Clinton drops out?
3512,Nebraska,0.0,Brothers ID'd as suicide bombers in Belgium
2546,US,0.0,Don't blame all immigrants for San Francisco shooting
2596,Paris,0.0,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees
1475,Syria,0.0,3 Questions Ahead Of Tonight's Democratic Debate
2232,Illinois,0.0,Obama's terror strategy is failing: US must heed lessons of 9/11
127,Iran,0.0,Selma 50 years on: John Lewis's recalls the march
4979,Kentucky,0.0,Third-party presidential candidates fight for 15% in polls – and a spot in debates
1700,Florida,0.0,"Bush, Rubio and Kasich eye one another in the shadow of Trump"
4500,Paris,0.0,Conspiracy theories swirl around the death of Antonin Scalia
2199,Rubio,0.0,McCain: Trump doesn't understand Syria
4943,Putin,0.8,Trump manager says 'undercover voters' will deliver win in US election
2115,US,0.0,The next president can have a big impact on climate policy — even without Congress
4597,America,0.0,Justice Department Staffers Monitor Polls on Election Day
677,Iraq,0.0,Poll: 71 percent of Dems think Clinton should keep running even if indicted
3004,Iran,0.0,Is the Iran deal unraveling? Think again. | Institution
172,Israel,0.0,Shutdown clash to return in force by December
5202,Raid,0.0,Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen
2802,Afghanistan,0.0,Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal
1329,DC,0.0,How Clinton plans to stop Sanders' momentum
4114,Hungary,0.0,Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal
4354,US,0.217,‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign
3138,Flint,0.25,Christianity under attack: US must do more to promote religious freedom
421,Kasich,0.375,"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly"
2850,United States,0.0,Iran agrees to nuclear restrictions in framework deal with world powers
51,Texas,0.0,"Bernie Sanders’s vast universe of donors, mapped"
186,Yemen,0.0,So That Happened: Did Obama Forget That The GOP Runs Congress?
3700,Chicago,0.0,Sunday in Charleston: Worship at Emanuel AME
5040,Iran,0.0,"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated"
2305,U.S.,0.25,Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law
2228,California,-0.125,Scott Walker Confronts Doubts About His Grasp of Foreign Policy
3008,Cuba,0.136,Iran carries out new ballistic missile test
3872,Afghanistan,0.0,Why Joe Biden can't get no respect
1884,U.S.,0.286,"Come on, Paul Ryan must be running in 2016, right? Right?"
4239,Israel,0.167,Why Bernie Sanders needs to start winning big states — big
3282,Us,0.0,Leaked: What’s in Obama’s trade deal
4532,New York,0.0,Someone Isn't Telling The Truth About Freddie Gray's Death
4130,US,0.25,Prison employee pleaded not guilty to aiding escape of two murderers
599,Yemen,-0.1,Election Day: No Legal Pot In Ohio; Democrats Lose In The South
4577,Washington,-0.22,President Trump: A colossal failure for democracy and our terrifying new reality
1934,Baltimore,0.0,Chris Christie losing home-state donors as Jeb Bush makes inroads
5075,Oklahoma,0.0,Can Sanders rally supporters around Clinton after DNC email leak?
2076,D.C.,0.0,'Historic' climate deal in sight as nations parse final text
4714,Israel,0.167,"Trump slams 'corrupt' media, as more women make sexual assault claims"
4911,Paris,0.0,The 5 unspoken rules for covering Hillary Clinton
2834,Iran,0.0,Iraq launches operation against ISIS in Anbar province
2281,Israel,0.417,Justices Kennedy and Scalia and their divide on gay rights
1938,Brussels,0.092,Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace'
1255,Baltimore,-0.3,"John Kasich: He’s Conservative, but at Least He’s Sane"
4618,Greece,0.0,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election
3602,Iran,0.0,Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack
384,U.S.,0.0,Debate Goals for the Democratic Candidates
4492,Ethiopia,0.2,'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred
2432,Kentucky,0.0,A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History
2916,Jamaica,0.0,Iran letter blowback startles GOP
4713,Cuba,0.0,Donald Trump's GOP civil war
4217,Nevada,0.0,Laura Bush hints she'd rather see Hillary as president
1770,US,0.333,"Scott Walker, Rick Perry show limits of super PACs"
3427,Iran,0.0,Is It Time To Reconsider Lifetime Appointments To The Supreme Court?
658,San Bernardino,0.8,"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally"
4865,Iran,0.136,"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up"
4031,Israel,-0.1,"MH370: If debris is part of missing plane, what's next?"
2586,Vlad,0.0,Israel stole classified US information and used it to help congressional Republicans
4045,Cuba,0.25,"""America has a simple ideology"": how one of Russia's top US experts explains America"
4632,Iraq,0.0,Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again
71,Paris,0.0,"Chaos on House floor as Dems, Republicans clash over LGBT proposal"
1108,US,0.0,"Clinton, Sanders accuse Trump of inciting violence"
4701,Baltimore,0.136,"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'"
4929,Iowa,0.0,Trump mulls alternative options for making Mexico finance 'the wall'
667,U.S.,0.0,"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’"
3382,Iowa,0.0,Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes
5199,Kenya,0.167,The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton
1809,Indiana,0.0,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?"
2812,Palin,0.0,"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal"
4666,Indiana,0.0,"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton"
4808,Russia,0.2,What do Americans really think of election coverage?
4411,Syria,-0.107,Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee
1754,Turkey,0.8,"Yes, Ted Cruz could win"
854,New Hampshire,0.0,Trump advisors try to pivot not fishtail
3137,Kenya,0.136,"Christians drop, 'nones' soar in new religion portrait"
2010,Iraq,0.0,Inside the Deliberations of a Hillary Clinton Campaign Launch
1109,Hiroshima,0.0,Clinton condemns Trump over Chicago violence
3592,U.S.,0.0,"In France, a growing debate over why some speech is protected and some isn’t"
3147,Iran,0.208,Gay rights and religious liberty: Can Americans have both?
4318,New York,0.0,"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians"
1905,Iran,0.35,“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz
4051,Selma,0.0,Obama Presses Putin to Strike Ukraine Peace Deal
3852,Eleven States,-0.6,"Trumka: Disappointment with Obama, a warning for Hillary"
205,US,0.0,Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP
3326,US,0.0,State Department warns of possible terror attack in South Africa
2968,Canada,0.0,Who Lost Iraq?
3107,Iran,0.6,Pope Francis implores Congress to accept immigrants as their own
1284,Iran,0.136,"Poll: Trump gains in Iowa, still dominates in New Hampshire"
2989,Ohio,0.0,Rand Paul Goes on Senate Floor to Protest NSA Spying Measure
3866,Cuba,-0.175,Obama Details His Disappointment With Netanyahu In First Post-Election Comments
4796,America,0.25,Reality Check: First Clinton v Trump presidential debate
961,Iran,0.5,John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”
273,U.S.,-0.317,The system set Boehner up for failure
3398,Iraq,0.417,Gay marriage victory at Supreme Court triggering backlash
263,Hungary,0.2,McCarthy drops out of speaker race as House asks: Who wants this job? (+video)
1242,Iran,-0.179,"Democrats, Republicans in tight races as Iowans prepare to caucus"
2840,South Carolina,1.0,Iran: Why the best outcome now is to keep negotiating without reaching a deal
1570,Nevada,0.0,Rand Paul is flatlining
2463,U.S.,0.0,Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines
4469,America,0.0,Can Paul Ryan and Donald Trump coexist within the Republican Party?
2507,Kasich,0.0,"Cruz copying me on border wall, Trump says"
1610,N.H.,-0.3,Jeb Bush loses TV ad edge to Marco Rubio
4107,Russia,0.1,"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides"
3474,Iowa,0.0,The Supreme Court cannot hide on Obamacare
1181,Chicago,0.5,"Poll: Hillary Clinton, Bernie Sanders both top Trump"
624,US,0.0,Donald Trump revokes Washington Post press access (+video)
2042,U.S.,0.0,How Jeb Bush can avoid being the Jon Huntsman of 2016
1680,Alabama,0.5,Poll finds Ben Carson knocks Donald Trump from top spot nationally
2874,Charleston,0.667,“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win
5244,Syria,0.0,Ernst to Trump: Stop with the name-calling
3888,California,-0.25,White House: GOP Has Failed to Put ‘Points on the Board’
763,US,0.0,The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.
739,Iowa,0.2,"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?"
1338,New Hampshire,0.0,Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton
5258,Cuba,0.172,Clinton doubles down on disputed claim FBI found her email remarks 'truthful'
4053,Wisconsin,0.0,How the Clintons’ Haiti development plans succeed — and disappoint
2678,California,0.2,Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.
3495,Kentucky,0.0,Tax Calculator: The federal debt
4930,Kasich,0.05,Trump and advisers remain split on how far to move toward the middle
4904,Rubio,0.35,Clinton in the final stretch: winning over anti-Trump contingent may be best play
3146,Cuba,0.0,Vatican Ends Scrutiny Of U.S. Nuns
4489,Boston,0.0,How Clinton’s email scandal took root
4454,Saudi Arabia's,-0.104,The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries
4708,US,0.35,"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True"
1461,Philadelphia,0.0,AP FACT CHECK: The Republican debaters and the facts
440,San Bernardino,0.0,Why the drop in income inequality?
3851,Moscow,0.05,Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General
334,Wisconsin,0.0,Manhunt for escaped killers expands to Vermont
3767,South Carolina,0.0,Protester charged with shooting officers in Ferguson
5215,America,0.0,It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.
5207,US,0.0,"GOP braces for Trump loss, roiled by refusal to accept election results"
5035,North Korea,0.0,Obama: Trump is ‘unfit to serve as president’
3103,Michigan,0.0,Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video)
1376,Mississippi,0.0,Paris Tragedy Could Shake Up 2016 Race
1510,Rubio,0.25,2016's first GOP debate: Six things to look for in Charleston
356,Iowa,-0.083,Black Hawk crashes off Florida; human remains found
2683,Clinton,0.0,"Drudge, Koch, Soros, Bezos: These 4 non-politicians will determine the next president"
4020,Rubio,0.0,Obama and Putin outline competing visions on Syria
3226,Iran,0.0,Is the GOP losing Walmart?
3375,Iran,0.05,"'Top secret' emails on Clinton server discussed drone program, may reference classified info"
3106,Mali,-0.1,Miracles Man: Metaxas Vs. Closed Minds And A Closed Universe
2339,America,0.0,Obama on gun control: His emotional evolution
2422,Detroit,0.167,The Clock Is Ticking And Republicans Still Have No Serious Obamacare Alternative
1597,Arizona,0.136,Trump treads on tradition in New Hampshire
4261,America,0.033,GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus
2640,Camden,0.0,"Cleveland, Justice Department Reach Policing Deal"
4477,Baltimore,0.0,"A GOP Weekend, Courtesy Of The Koch Network And Citizens United"
5184,Russia,0.0,"Juan Williams: My bets on Trump, Clinton vice presidential picks"
4648,Florida,0.0,How Trump And Clinton Are Framing Their Closing Arguments
3144,Philadelphia,0.0,Scott Walker and questioning Obama’s faith
1784,America,1.0,What Is Hillary’s Greatest Accomplishment?
800,London,0.6,"Sanders, Trump easily win West Virginia primary; Trump picks up Nebraska too"
1518,Iran,0.0,"Clinton, Sanders to Face Off in 1st Democrat Debate"
3938,Russia,-0.078,"Human remains suggest explosion brought down EgyptAir plane, forensics official says"
3638,Syria,0.0,US officials scanning terror databases in search for Paris attack suspects
1829,U.S.,0.156,Clinton Picks Up The First Major Labor Endorsement Of 2016
2845,Wisconsin,-0.5,Obama: Syria war unlikely to end during his presidency
317,Israel,0.4,'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on
3302,Oregon,0.0,Senate Advances Bill To Approve Keystone Pipeline Despite Obama's Veto Threat
162,St. Louis,0.0,Momentum to bar Syrian refugees slows
151,U.S.,0.168,New evidence that the legal immigration system discriminates against Latin Americans
2714,Afghanistan,-0.5,Media turn blind eye to Hillary Clinton’s glaring mistakes
3327,Syria,-0.6,State Department admits to deliberately cutting briefing footage on Iran deal
4147,US,0.0,"U.S. Economy Added 271,000 Jobs In October, Beating Expectations"
